epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93514,1.16409,7.39387,1.45464,0.0033,0.10435,0.00192,0.00059,0.82413,5.71598,1.02521,4e-05,4e-05,4e-05
2,6.60865,1.14078,6.95625,1.42537,0.00492,0.05217,0.00209,0.00064,0.81448,5.73156,1.02954,9.01e-05,9.01e-05,9.01e-05
3,9.41386,1.19032,6.89366,1.50572,0.24849,0.39965,0.18856,0.0815,0.77483,3.48539,1.19383,0.00012832,0.00012832,0.00012832
4,12.1735,1.02421,4.84669,1.52787,0.85476,0.87001,0.88425,0.62039,0.88704,2.44981,1.3658,0.00015466,0.00015466,0.00015466
5,14.8104,0.76974,3.11905,1.27921,0.95929,0.81959,0.92444,0.78163,0.55348,2.24151,1.01296,0.00016912,0.00016912,0.00016912
6,17.6219,0.53929,2.45975,0.96186,0.9907,0.92654,0.93585,0.83991,0.45097,1.96799,0.85805,0.0001717,0.0001717,0.0001717
7,20.5026,0.47851,1.96558,0.85629,0.97275,0.94783,0.95104,0.83625,0.47732,1.31249,0.82127,0.0001624,0.0001624,0.0001624
8,23.1253,0.4901,1.42395,0.88348,0.9818,0.93819,0.95913,0.87073,0.40257,1.31616,0.81102,0.00014122,0.00014122,0.00014122
9,26.0407,0.45003,1.2895,0.87959,0.97342,0.95524,0.9497,0.83989,0.46218,1.26262,0.86563,0.00010816,0.00010816,0.00010816
10,28.8696,0.40536,1.00963,0.83759,0.99005,0.93913,0.94815,0.84603,0.45286,1.1473,0.86454,6.322e-05,6.322e-05,6.322e-05
