epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49084,1.26283,3.47382,1.30662,0.00593,0.84211,0.01159,0.00294,1.19501,3.30277,1.14749,0,0,0
2,2.43829,1.27781,3.43829,1.34165,0.00704,1,0.01362,0.00353,1.1871,3.30096,1.1462,1.9901e-05,1.9901e-05,1.9901e-05
3,3.37937,1.31579,3.47427,1.33745,0.00704,1,0.01485,0.00382,1.17341,3.29589,1.14215,3.9604e-05,3.9604e-05,3.9604e-05
4,4.30419,1.40625,3.45062,1.38856,0.00704,1,0.01701,0.00422,1.15961,3.29506,1.13673,5.9109e-05,5.9109e-05,5.9109e-05
5,5.28037,1.2103,3.31204,1.27677,0.00704,1,0.03268,0.00848,0.92034,3.21081,1.01745,7.8416e-05,7.8416e-05,7.8416e-05
6,6.30669,0.89553,3.10204,1.02734,0.00704,1,0.01665,0.00702,0.90895,3.21045,1.01594,9.7525e-05,9.7525e-05,9.7525e-05
7,7.28936,1.03829,3.08947,1.12011,0.00704,1,0.11939,0.07435,0.87383,3.102,0.96929,0.000116436,0.000116436,0.000116436
8,8.30784,0.90632,2.88085,1.00313,0.00704,1,0.23659,0.17721,0.89448,2.98966,0.94445,0.000135149,0.000135149,0.000135149
9,9.31361,0.94662,2.8586,1.015,0.00704,1,0.43247,0.2933,0.81207,2.87486,0.90208,0.000153664,0.000153664,0.000153664
10,10.3308,0.89933,2.54014,0.99016,0.00704,1,0.86873,0.65252,0.80786,2.67394,0.83615,0.000171981,0.000171981,0.000171981
11,11.4005,0.88898,2.39544,0.92992,0.00704,1,0.95517,0.71924,0.78907,2.63185,0.82979,0.0001901,0.0001901,0.0001901
12,12.5171,0.80775,2.15609,0.91724,0.00704,1,0.98292,0.71224,0.79671,2.59855,0.83347,0.000208021,0.000208021,0.000208021
13,13.5225,0.79117,2.00003,0.91587,0.00704,1,0.98182,0.67426,0.7973,2.60454,0.85927,0.000225744,0.000225744,0.000225744
14,14.6913,0.81479,1.89044,0.90636,0.00704,1,0.97919,0.65218,0.82233,2.5857,0.87022,0.000243269,0.000243269,0.000243269
15,15.7647,0.75327,1.65244,0.88495,0.00704,1,0.96287,0.68682,0.80095,2.53293,0.87089,0.000260596,0.000260596,0.000260596
16,16.8557,0.75536,1.56919,0.9177,0.00704,1,0.9665,0.67892,0.8741,2.47958,0.86124,0.000277725,0.000277725,0.000277725
17,17.8354,0.73714,1.4896,0.86076,0.00704,1,0.961,0.64456,0.93088,2.50532,0.87503,0.000294656,0.000294656,0.000294656
18,18.8288,0.80723,1.34576,0.93476,0.00704,1,0.9585,0.66171,0.91189,2.43608,0.86335,0.000311389,0.000311389,0.000311389
19,19.7256,0.74655,1.1873,0.90535,0.00704,1,0.94636,0.67728,0.87216,2.41737,0.86123,0.000327924,0.000327924,0.000327924
20,20.7096,0.7801,1.18585,0.95317,0.02068,1,0.94086,0.67812,0.86067,2.42269,0.86303,0.000344261,0.000344261,0.000344261
21,21.7056,0.71341,1.09262,0.91086,0.02155,1,0.90694,0.64339,0.86688,2.46886,0.87802,0.0003604,0.0003604,0.0003604
22,22.5629,0.80162,1.11795,0.95482,0.02198,1,0.90077,0.63051,0.93116,2.46741,0.88208,0.000376341,0.000376341,0.000376341
23,23.6174,0.77879,1.10732,0.92988,0.02261,1,0.90856,0.63945,0.95963,2.47256,0.88306,0.000392084,0.000392084,0.000392084
24,24.6228,0.79084,0.93533,0.88913,0.02376,1,0.91236,0.63358,0.96357,2.4995,0.89345,0.000407629,0.000407629,0.000407629
25,25.5707,0.75059,0.93074,0.92263,0.00704,1,0.92149,0.64223,0.95076,2.50014,0.90929,0.000422976,0.000422976,0.000422976
26,26.5264,0.75843,0.98117,0.91164,0.00704,1,0.94019,0.66208,0.9151,2.52665,0.90427,0.000438125,0.000438125,0.000438125
27,27.5163,0.75679,0.94416,0.93025,0.00704,1,0.9463,0.66435,0.92422,2.53571,0.90011,0.000453076,0.000453076,0.000453076
28,28.5134,0.74343,0.92164,0.92174,0.00704,1,0.94866,0.65165,0.92419,2.5561,0.90028,0.000467829,0.000467829,0.000467829
29,29.516,0.70666,0.8636,0.90276,0.00704,1,0.956,0.63708,0.92497,2.5393,0.89873,0.000482384,0.000482384,0.000482384
30,30.4919,0.69038,0.9101,0.90879,0.00704,1,0.95051,0.65253,0.92289,2.54379,0.90265,0.000496741,0.000496741,0.000496741
31,31.4481,0.65366,0.86182,0.90586,0.00704,1,0.95239,0.69523,0.87653,2.56742,0.91305,0.0005109,0.0005109,0.0005109
32,32.4383,0.72501,0.83371,0.94656,0.00704,1,0.9585,0.67569,0.95837,2.54085,0.94757,0.000524861,0.000524861,0.000524861
33,33.5652,0.63927,0.81902,0.87894,0.00704,1,0.95182,0.63974,1.00917,2.49788,0.99022,0.000538624,0.000538624,0.000538624
34,34.534,0.6666,0.94205,0.92127,0.0206,1,0.93946,0.62223,0.98167,2.48354,1.00397,0.000552189,0.000552189,0.000552189
35,35.5111,0.64254,0.8604,0.87548,0.02025,1,0.93143,0.63654,0.95518,2.47943,1.02311,0.000565556,0.000565556,0.000565556
36,36.4875,0.67936,0.83935,0.87662,0.00704,1,0.93355,0.62977,0.92321,2.50623,1.03381,0.000578725,0.000578725,0.000578725
37,37.4315,0.69407,0.96267,0.92006,0.00704,1,0.90133,0.59016,0.90073,2.56215,1.0085,0.000591696,0.000591696,0.000591696
38,38.3343,0.68673,0.88165,0.90059,0.00704,1,0.87991,0.56969,0.90735,2.56929,0.98874,0.000604469,0.000604469,0.000604469
39,39.3037,0.67604,0.86718,0.89006,0.00704,1,0.88318,0.55969,0.90261,2.57132,0.98213,0.000617044,0.000617044,0.000617044
40,40.1733,0.66051,0.82312,0.88638,0.00704,1,0.85855,0.54122,0.8669,2.57857,0.97249,0.000629421,0.000629421,0.000629421
41,41.0277,0.74729,1.0407,0.9599,0.00704,1,0.83522,0.55476,0.85713,2.60871,0.9529,0.0006416,0.0006416,0.0006416
